tiempo,x,y,vx,vy
4.2,210.0,39.47579999999999,50.0,-11.202000000000005
4.21,210.5,39.36328949999999,50.0,-11.3001
4.22,211.0,39.249798,50.0,-11.398200000000003
4.23,211.50000000000003,39.13532549999998,50.0,-11.496300000000005
4.24,212.0,39.01987199999999,50.0,-11.594400000000007
4.25,212.5,38.903437499999995,50.0,-11.692500000000003
4.26,213.0,38.786022,50.0,-11.790599999999998
4.2700000000000005,213.50000000000003,38.6676255,50.0,-11.888700000000007
4.28,214.0,38.548248,50.0,-11.986800000000002
4.29,214.5,38.42788949999999,50.0,-12.084900000000005
4.3,215.0,38.30655,50.0,-12.183
4.3100000000000005,215.50000000000003,38.18422949999999,50.0,-12.28110000000001
4.32,216.0,38.060928000000004,50.0,-12.379200000000004
4.33,216.5,37.93664550000001,50.0,-12.4773
4.34,217.0,37.81138199999998,50.0,-12.575400000000002
4.3500000000000005,217.50000000000003,37.68513750000001,50.0,-12.673500000000004
4.36,218.00000000000003,37.55791199999999,50.0,-12.771600000000007
4.37,218.5,37.42970549999998,50.0,-12.869700000000002
4.38,219.0,37.300518,50.0,-12.967800000000004
4.39,219.49999999999997,37.170349499999986,50.0,-13.0659
4.4,220.00000000000003,37.03919999999998,50.0,-13.164000000000009
4.41,220.5,36.907069500000006,50.0,-13.262100000000004
4.42,221.0,36.77395799999999,50.0,-13.360199999999999
4.43,221.5,36.639865499999985,50.0,-13.458300000000001
4.44,222.00000000000003,36.504791999999995,50.0,-13.556400000000004
4.45,222.5,36.36873749999998,50.0,-13.654500000000006
4.46,223.0,36.231702,50.0,-13.752600000000001
4.47,223.5,36.09368549999999,50.0,-13.850699999999996
4.48,224.00000000000003,35.95468799999999,50.0,-13.948800000000006
4.49,224.5,35.81470949999999,50.0,-14.0469
4.5,225.0,35.67375,50.0,-14.145000000000003
4.51,225.5,35.53180949999998,50.0,-14.243099999999998
4.5200000000000005,226.00000000000003,35.388887999999994,50.0,-14.341200000000008
4.53,226.5,35.2449855,50.0,-14.439300000000003
4.54,227.0,35.10010199999999,50.0,-14.537400000000005
